Wavelength [nm],Intensity
526.848,406.823796818654
527.181,29.7077391346296
527.514,-20.3478954533736
527.847,227.396486123403
528.179,349.467908908923
528.512,194.915518725912
528.845,199.053379140794
529.178,373.229582329591
529.511,307.763651306431
529.843,123.872665042678
530.176,51.045860953629
530.509,135.930080845952
530.842,120.276946914693
531.174,111.685462140168
531.507,227.169159263372
531.840,435.098962525527
532.172,403.467631340027
532.505,284.18269200623
532.838,249.76590676109
533.170,234.242085695267
533.503,188.500237127145
533.836,49.3468660743287
534.168,92.4994853039582
534.501,187.616017242273
534.834,128.90048233668
535.166,55.0703934232394
535.499,165.35410669446
535.831,384.056386418641
536.164,361.439339799186
536.496,196.336063057184
536.829,111.140312592188
537.161,198.406734019518
537.494,78.9501023987929
537.826,5.9177741805712
538.159,126.595718135436
538.491,314.362376689911
538.824,261.742322822412
539.156,106.69721369942
539.489,230.697965492805
539.821,430.0726488928
540.153,482.34809216857
540.486,186.599477221568
540.818,131.53857990106
541.151,184.519784425696
541.483,186.974160591761
541.815,85.3653840124607
542.148,103.966642389695
542.480,277.884694154064
542.812,302.118035569787
543.145,177.351376987373
543.477,175.80500134329
543.809,457.186451092362
544.141,395.676440313148
544.474,286.782446774344
544.806,174.516777147849
545.138,310.416033414503
545.470,288.26915115118
545.802,78.3826758265495
546.135,88.9072487155596
546.467,191.576170836886
546.799,237.497981672486
547.131,150.423551601668
547.463,69.6468418141205
547.795,112.442821323872
548.128,127.728038241466
548.460,115.372150361538
548.792,227.761118282874
549.124,341.330048501492
549.456,350.419792508086
549.788,183.781694958607
550.120,148.181188344955
550.452,267.115028291941
550.784,236.494222571452
551.116,187.131568312645
551.448,228.060897331685
551.780,475.699746696899
552.112,338.846628949046
552.444,206.449391002456
552.776,41.0872109904885
553.108,228.658870925506
553.440,260.872665042679
553.772,193.469412555297
554.104,143.156378343701
554.435,260.258151439329
554.767,210.255144161483
555.099,245.467157100638
555.431,157.49046348532
555.763,341.317267566919
556.095,240.745330085357
556.426,206.643082698186
556.758,79.8501104811828
557.090,214.388967932513
557.422,182.058641877025
557.754,205.381449741622
558.085,217.733578550319
558.417,293.937321494023
558.749,180.938825110595
559.080,-26.6561412016551
559.412,57.0548827797174
559.744,296.201487481594
560.076,355.835074106852
560.407,175.549105366071
560.739,196.047838846843
561.071,284.16963348786
561.402,252.768636484941
561.734,167.989948819081
562.065,128.38267582655
562.397,386.06362704436
562.729,254.179684713483
563.060,248.752374025683
563.392,161.539331709345
563.723,348.627294530471
564.055,472.694206406673
564.386,285.035057942072
564.718,261.530309890708
565.049,175.093225546181
565.381,233.691476690273
565.712,84.8872271627188
566.044,90.3348369710925
566.375,305.325537592173
566.707,431.573637843132
567.038,282.509733259678
567.369,185.572411735852
567.701,207.215020209551
568.032,213.643834551175
568.364,126.188706547022
568.695,94.0481164082885
569.026,297.400245216985
569.358,192.061649147421
569.689,9.937599029392
570.020,-26.8253004501264
570.352,75.2333414231737
570.683,189.968423604965
571.014,-45.7944758782785
571.345,-24.1654001623392
571.677,161.396486123403
572.008,174.450339525938
572.339,111.313230971495
572.670,-50.2118162314098
573.001,234.549857189258
573.333,169.030072756112
573.664,136.564419294397
573.995,117.068415522575
574.326,283.859132299821
574.657,292.753125841419
574.988,62.8087604443233
575.320,92.5280544360478
575.651,194.802745888631
575.982,239.557375361522
576.313,176.997466991345
576.644,308.676914592584
576.975,464.849358672897
577.306,464.951883591712
577.637,127.874446243048
577.968,142.137108599146
578.299,221.398267308871
578.630,311.526076535384
578.961,129.987970897928
579.292,137.985715440474
579.623,342.094729185104
579.954,329.054882779717
580.285,180.311530585711
580.616,41.7122500737507
580.947,182.00771488746
581.277,131.390193998814
581.608,26.8365777383249
581.939,57.2338156700134
582.270,267.693732148657
582.601,304.248377797504
582.932,218.169911071658
583.263,263.891460518042
583.593,453.127057388425
583.924,444.740344914297
584.255,156.750118563573
584.586,128.758388573925
584.916,252.306267851343
585.247,279.369420641412
585.578,115.62278359135
585.909,132.294712990522
586.239,387.214268401265
586.570,405.581433584293
586.901,279.367639422417
587.231,250.346588522196
587.562,345.114276476204
587.893,285.770417670409
588.223,55.9207814435164
588.554,127.806504974763
588.885,88.0075181890279
589.215,88.1082619279623
589.546,-197.293486931672
589.876,-1.24687415858114
590.207,208.258348147074
590.537,300.518477479617
590.868,224.470638632774
591.198,177.941832403342
591.529,348.155348966519
591.859,335.133546213309
