Wavelength [nm],Intensity (a.u)
522.187,174.115450094144
522.520,313.565857410431
522.853,406.743092139562
523.186,380.09683894366
523.519,391.884371414781
523.852,366.028907146305
524.185,154.601447095474
524.518,-26.0016238590082
524.851,-1.37470449010527
525.183,180.706235518058
525.516,270.506597697735
525.849,284.121954212586
526.182,431.628186215957
526.515,639.817706505458
526.848,425.484373172124
527.181,49.3598939478397
527.514,-9.02691759665811
527.847,240.394038343181
528.179,324.462692802151
528.512,183.905873293678
528.845,203.717976848284
529.178,395.900270350277
529.511,301.759892212848
529.843,93.8646806130806
530.176,13.3774167311689
530.509,81.2661242236694
530.842,-8.72086756552255
531.174,-31.9819330330938
531.507,90.1626026928425
531.840,424.415540218353
532.172,403.116172770659
532.505,287.842277581493
532.838,201.428726916512
533.170,232.566035856803
533.503,166.160434663296
533.836,33.3463415497293
534.168,75.4930453052123
534.501,198.938393841187
534.834,131.55808638533
535.166,71.0547451178232
535.499,208.007048318783
535.831,434.054200898856
536.164,357.10189768672
536.496,189.656370689472
536.829,66.7886208792528
537.161,145.390969157219
537.494,-5.39421681563056
537.826,-55.0919586618742
538.159,106.918881515662
538.491,332.681664427121
538.824,268.059803853432
539.156,68.0164431432883
539.489,150.017165790002
539.821,365.723579814037
540.153,413.33460021019
540.486,104.255828231573
540.818,65.5306246032318
541.151,173.845890978972
541.483,198.295575559139
541.815,74.6845551629862
542.148,21.2883487641811
542.480,218.5429101487
542.812,226.113460548222
543.145,163.017344286665
543.477,124.799639532963
543.809,378.179224312305
544.141,277.342728155975
544.474,181.777959177892
544.806,72.176333591342
545.138,255.412827988466
545.470,220.258718937635
545.802,56.0345100859801
546.135,56.2312571704388
546.467,186.233425199986
546.799,256.491599952181
547.131,180.753388101856
547.463,171.301357001066
547.795,183.09232438604
548.128,175.379406273365
548.460,126.02439258496
548.792,240.077870796124
549.124,363.650589247545
549.456,319.749774711828
549.788,169.443903160592
550.120,94.8408322135608
550.452,241.110569827259
550.784,209.487986554702
551.116,211.126468762755
551.448,196.058536969125
551.780,427.365131193151
552.112,266.185906892021
552.444,152.79114587605
552.776,35.4171640550096
553.108,262.979586521785
553.440,333.864680613081
553.772,195.130804821849
554.104,94.4836504956086
554.435,164.261065465709
554.767,152.591508085529
555.099,146.79530347387
555.431,130.151039838791
555.763,285.304970383644
556.095,229.062694559495
556.426,170.297743588686
556.758,97.8430002580087
557.090,263.386811551948
557.422,197.056368935853
557.754,165.046251431108
558.085,153.730985070268
558.417,254.926830987136
558.749,192.928276310364
559.080,-32.3232158323128
559.412,3.05275554209948
559.744,198.860344553987
560.076,314.49521334966
560.407,150.874075437586
560.739,159.366398066282
561.071,207.150138656298
561.402,251.085097591082
561.734,159.310751825571
562.065,122.367843419313
562.397,318.381574332714
562.729,168.839386860529
563.060,114.749052035312
563.392,10.5313472797475
563.723,263.282567352057
564.055,440.680219074091
564.386,296.687445869049
564.718,262.856008465091
565.049,155.089612156153
565.381,251.357181729128
565.712,123.224931535621
566.044,152.001445357222
566.375,357.979586521785
566.707,441.884737153848
567.038,269.489976137877
567.369,118.56314513584
567.701,130.87335276107
568.032,117.631799628337
568.364,24.8480590085189
568.695,26.3795847644408
569.026,224.397651736935
569.358,140.392592978974
569.689,-75.7266489962738
570.020,-82.1524851918221
570.352,-3.0961162596941
570.683,141.969647495076
571.014,-94.7895220393937
571.345,-64.8256559769313
571.677,133.060705009848
572.008,108.43288448453
572.339,70.9548369844754
572.670,-89.5627794265747
573.001,262.541464795669
573.333,184.695573812972
573.664,111.901715703309
573.995,49.7324304232996
574.326,236.851672391097
574.657,276.416441378494
574.988,57.8032529304426
575.320,94.187173768878
575.651,181.464138155182
575.982,252.882024894158
576.313,157.651311953862
576.644,319.66359748443
576.975,461.175610914826
577.306,462.620415235559
577.637,66.2126459976037
577.968,67.1447142114241
578.299,174.742003709078
578.630,285.198192422589
578.961,163.988437142223
579.292,127.652935772824
579.623,308.091057509184
579.954,253.386088875433
580.285,65.9790423195809
580.616,-8.96910329659772
580.947,141.648242771626
581.277,166.041736880938
581.608,45.8299920360248
581.939,53.5580863853295
582.270,243.692683099459
582.601,240.251670648654
582.932,175.496658702691
583.263,254.882747585575
583.593,509.122132688761
583.924,467.73748917381
584.255,145.413550664981
584.586,86.4215001290042
584.916,262.640650233875
585.247,302.701355239997
585.578,157.611564596494
585.909,122.283290028572
586.239,391.872630084554
586.570,357.905150617162
586.901,236.68672316273
587.231,163.333154857159
587.562,329.443180484076
587.893,305.766396316389
588.223,100.910932044188
588.554,164.801084885995
588.885,168.007226786576
589.215,136.770732397834
589.546,-155.628364699582
589.876,-21.5835586215059
590.207,260.235414723555
590.537,302.152128239473
590.868,236.119063476721
591.198,129.597833712896
